distance,size,num_of_rooms,floor,price
347,62,2,5,275500
1658,50,2,15,300000
2462,90,2,1,360000
2462,53,2,2,271000
3062,68,3,1,203280
7199,85,3,4,187000
1658,30,1,2,248000
347,73,3,2,249000
3763,162,6,3,456000
347,121,4,1,400000
1540,167,6,6,650000
3062,102,6,5,636669
3091,64,2,1,188000
2645,50,2,4,190000
2801,65,2,6,199800
4462,74,3,2,197000
1658,51,2,15,300000
3763,70,2,1,185000
2462,66,2,2,285000
2973,52,2,11,199000
347,60,2,1,285000
3473,55,2,8,175000
1540,54,2,3,296000
1540,55,2,1,220000
3230,55,2,0,180774
6073,60,2,9,169000
4688,38,1,9,199000
1658,35,1,3,190000
3091,69,3,2,131100
4181,52,2,3,130000
1658,60,2,4,234888
2402,66,2,1,235000
1658,56,2,4,236888
1658,56,2,4,243888
1658,81,2,1,482888
1658,81,2,4,548888
2973,52,2,11,199500
3230,104,2,4,250000
1658,70,2,23,435888
1658,56,2,2,233888
2462,39,2,1,250000
347,58,2,5,277000
2402,54,2,3,269000
1540,101,2,2,380000
1658,55,2,8,271888
1658,73,2,26,642888
3381,110,5,8,176000
3763,172,5,1,580000
6073,104,5,1,235000
2462,98,4,1,390000
2976,96,4,6,268800
6073,51,2,4,133000
1658,57,2,2,233888
3230,154,4,4,490000
3381,137,4,8,259000
1658,122,4,14,594000
1540,100,4,2,695000
2402,88,4,1,259000
3230,100,4,0,295000
3381,145,4,-1,499000
1658,109,4,14,750000
2402,114,4,1,325000
3200,76,4,0,290000
2462,65,2,2,260000
4593,50,2,1,130000
8751,69,3,2,131100
4593,49,3,1,147000
1661,93,5,1,280000
1658,78,2,8,524888
6073,76,3,1,164300
2462,340,6,5,1300000
2451,75,3,2,250000
6073,51,2,4,132888
4181,74,3,5,128900
1658,81,3,3,520000
4546,51,2,4,119000
3511,43,2,8,118000
4553,69,3,2,152000
3796,57,2,8,149000
6660,54,2,5,138000
3091,125,4,2,436550
3091,203,4,6,936520
3091,136,4,1,464135
3091,95,3,3,351586
3091,141,4,4,549043
2645,100,3,3,420546
2402,37,2,1,129500
347,114,4,5,310000
4272,37,1,4,108000
6554,75,5,18,154000
2462,64,3,3,135000
4181,63,3,5,111500
3763,58,3,4,145000
6554,75,4,18,154000
2503,119,3,7,290000
3473,59,3,8,145000
2462,118,5,2,378000
3062,45,2,3,119000
3796,57,2,8,149000
3062,45,2,2,157500
1540,41,1,2,143500
2174,50,2,3,173900
3230,54,2,2,146900
1540,107,4,1,289000
3062,90,4,1,317772
2451,80,3,2,252000
672,45,2,-1,125000
8751,57,3,1,102600
8751,57,3,2,102600
2174,34,2,3,110000
2462,164,5,2,510000
1658,58,2,1,260000
3381,101,3,1,323000
1658,114,4,19,519900
7014,76,3,2,164300
1540,54,2,3,295000
1540,76,2,3,306000
2462,55,2,1,220000
2462,90,2,1,360000
2462,72,2,2,285000
4598,167,5,6,670000
1540,53,2,2,275000
4181,48,2,1,120000
603,36,2,1,145000
8751,64,3,1,115200
3091,87,4,9,250000
3796,52,2,1,149000
4181,52,3,4,155331
4181,54,3,2,156477
4181,52,3,4,155331
4181,52,3,1,152454
4181,54,3,2,158605
4181,52,3,3,155331
4181,54,3,1,156477
4181,54,3,0,156477
4181,54,3,0,158605
4181,54,3,1,158605
1658,87,3,16,391500
4593,50,2,2,130000
4593,61,1,1,158600
2402,92,4,4,280000
2402,41,2,1,225000
5678,85,2,2,225000
5508,73,3,9,262800
5508,84,3,3,302000
4185,48,3,1,119888
672,72,2,1,180000
3860,54,2,1,130000
1540,59,2,-1,105000
2402,121,2,3,545000
8751,53,3,3,106000
8751,53,3,2,106000
8751,59,3,0,118000
8751,59,3,1,117900
5174,50,3,4,103000
7524,52,2,6,147000
4593,71,2,3,140000
3091,63,2,2,186000
6660,64,2,1,168000
3091,71,3,11,184600
4181,70,3,1,170000
8751,115,5,3,206800
6073,66,3,2,245000
3796,57,2,8,159000
3230,103,3,4,287000
6073,87,3,10,174900
2174,60,3,5,170000
3763,54,2,2,149000
3763,54,2,3,149000
6554,45,2,16,125000
1540,100,4,2,695000
2971,200,3,7,650000
4688,62,3,7,265000
1658,51,2,14,225000
1658,72,3,9,432000
2402,120,3,3,556600
4688,78,3,9,401700
2402,85,4,1,330000
347,66,3,2,260000
4181,40,2,1,114400
6554,75,3,17,157000
3230,104,2,4,250000
3230,65,3,3,256800
2174,150,5,2,540000
672,82,4,6,269000
4272,33,1,7,122000
3091,65,3,8,166000
4546,62,3,9,209000
672,65,3,4,229000
1658,70,2,3,380000
5678,66,2,12,190000
1540,221,5,3,620000
4181,70,4,11,167000
3200,46,2,2,161000
4181,66,3,6,150000
6073,51,2,6,220000
2402,145,6,6,600000
6554,71,3,4,163000
4553,95,3,1,210000
2462,68,3,3,166300
2973,115,5,5,350000
2402,74,3,1,236800
1540,59,2,0,190000
4272,65,3,1,145000
1540,87,3,5,253000
3230,65,3,3,256800
1540,91,3,1,360000
3091,115,5,3,206800
3091,115,5,3,206800
4544,71,2,9,294888
5678,75,3,2,195000
1658,144,5,22,740000
1658,32,1,5,166888
1540,58,3,1,205000
3230,67,3,1,144999
7524,49,3,1,118888
3281,63,2,1,310000
2451,52,2,4,262000
3200,77,4,2,220000
4593,78,3,1,179000
2451,74,4,1,215000
3230,93,3,7,229000
3230,82,4,4,230000
1658,87,3,15,512500
3230,40,2,2,162000
2402,99,4,4,286000
2783,70,3,1,220000
672,82,4,6,269000
672,288,9,1,999000
1540,83,3,5,270000
3230,38,2,2,133000
1540,65,2,2,260000
4593,73,3,1,189800
3796,69,3,8,189000
4598,94,3,4,398000
2172,67,3,1,232000
2976,52,3,3,131500
347,83,3,3,350000
3763,138,5,5,380000
2402,66,2,0,140000
2402,60,2,1,235000
3062,149,5,4,480000
4181,116,3,3,279000
5302,96,4,1,240000
6073,63,3,10,169990
1658,54,2,15,235000
4553,106,4,8,263900
3763,138,5,5,380000
4181,91,3,5,195000
2645,48,2,6,192000
4598,94,3,7,423200
4598,121,3,2,368500
4598,140,4,4,577000
6660,61,3,0,199900
672,72,3,1,225000
1658,59,2,0,221888
2462,164,4,2,498000
3108,95,4,1,280000
4181,80,4,4,155000
2645,50,2,4,192000
4546,81,3,1,240000
3091,99,4,7,307500
2174,58,3,3,175000
1658,92,3,16,498000
2402,186,4,4,725400
1540,140,4,1,380000
1661,82,3,2,340000
4598,111,3,1,299000
4598,104,4,7,472000
8751,115,5,3,206800
3596,68,3,1,194000
2172,117,3,15,345000
2645,48,2,4,190000
3230,100,4,0,295000
2462,56,5,8,1600000
4181,66,3,3,165000
6660,89,3,7,215000
2402,88,5,1,259000
1658,72,3,11,345000
1658,87,3,11,450000
347,70,2,1,220000
1540,122,4,1,512000
3473,79,3,14,199900
6073,95,3,4,320000
2402,131,4,3,589500
2402,153,4,4,689500
2402,92,3,1,360000
6073,86,4,11,185000
347,79,4,3,198000
2976,66,3,1,210000
672,63,3,7,270000
2973,72,3,11,232000
3381,200,5,0,799000
3230,170,5,7,610000
2973,72,3,15,200000
2402,81,3,1,326511
1658,114,4,19,527000
1658,118,4,10,495000
7014,90,3,17,170000
1540,86,3,2,355000
6660,98,4,0,145000
3230,79,3,2,232135
4181,86,4,6,331100
2174,66,3,0,254100
4181,70,2,0,182000
1540,61,3,4,215000
4181,64,3,1,160300
672,102,3,6,332500
2402,80,2,1,240000
2645,143,3,2,560000
1540,90,2,1,360000
4593,70,2,0,185000
4181,91,4,1,195000
347,82,3,1,330000
1540,87,4,1,280000
2462,162,5,5,437400
2462,50,2,0,190000
1661,120,4,9,599000
347,71,3,4,245000
4593,73,3,1,189800
2402,76,2,2,306000
3763,75,3,4,199000
6554,71,3,4,180000
3763,85,5,4,236000
3230,101,3,19,205000
3230,125,4,1,400000
